Date,Avg_temp,Temp_diff,Consumer_price,Cow_disease
20150213,-1.6,10.4,66495,226
20150216,5,3.8,66376,226
20150217,1.9,3.6,66376,226
20150223,0.9,8.3,66935,226
20150224,2.1,8.6,67286,226
20150225,5.4,12.3,65165,226
20150226,1.2,8.2,63583,226
20150227,-1.3,10.4,63333,226
20150302,3.9,11.6,62308,388
20150303,2.8,8,62500,388
20150304,-2.1,6,62220,388
20150305,-0.3,10.9,64223,388
20150306,2.9,13.6,64189,388
20150309,2.2,13.6,65372,388
20150310,-3.4,7.9,66462,388
20150311,0.4,12.6,66356,388
20150312,2.1,10.2,66253,388
20150313,5.6,9.2,66045,388
20150316,9.8,17.3,66144,388
20150317,10.7,9.2,66439,388
20150318,10.7,6,66780,388
20150319,12.4,14.5,64566,388
20150320,13.4,14.3,64251,388
20150323,4.6,10.1,64533,388
20150325,6.5,14.1,64468,388
20150326,7.9,13.2,65227,388
20150327,9.1,13,64783,388
20150330,13.2,14.9,65398,388
20150331,12.9,4.9,65373,388
20150401,12.9,7.6,64251,322
20150402,14.8,13.3,64105,322
20150403,10.6,8.2,64105,322
20150406,10.3,8.5,64583,322
20150407,8.4,6.7,64583,322
20150408,8.3,10.2,64910,322
20150409,9.6,12.5,64354,322
20150410,11.6,14.6,64273,322
20150413,12,10.2,64102,322
20150414,6.9,2.2,64230,322
20150415,11.1,11.4,64105,322
20150416,9.9,7.9,62415,322
20150417,10.5,11.3,62872,322
20150420,12.2,6.5,63303,322
20150421,14,13.2,63251,322
20150422,14.2,11.4,62944,322
20150423,14.5,12.1,65208,322
20150424,15.7,12.4,64803,322
20150427,18.5,12.2,64879,322
20150428,20.3,14.6,64879,322
20150429,17,2.6,64879,322
20150430,21.2,13.2,62103,322
20150504,16.1,7.6,62278,415
20150506,15.4,12.2,61515,415
20150507,16.5,13.4,63559,415
20150508,16.7,11,63559,415
20150511,18.4,9.7,64450,415
20150512,13.3,7.2,64425,415
20150513,17.4,9.6,64525,415
20150514,20.4,11.3,64525,415
20150515,19.1,7.4,64525,415
20150518,17.7,8.5,65608,415
20150519,14.8,3.2,65283,415
20150520,16.3,11.3,65358,415
20150521,18.7,13.4,64977,415
20150522,20,13.5,64634,415
20150526,21.5,16.2,65515,415
20150527,23.2,17.1,65529,415
20150528,24.3,15.5,66003,415
20150529,23.8,11.3,66003,415
20150601,21.7,12.7,66297,349
20150602,23.1,11.7,66639,349
20150603,23.3,12.3,66376,349
20150604,24.2,14.4,64566,349
20150605,19.1,4.5,64724,349
20150608,22.4,9.6,64861,349
20150609,22.2,9.3,64861,349
20150610,25.3,17.3,65255,349
20150611,24.6,9.5,64853,349
20150612,23.6,10.5,65436,349
20150615,24.2,11,65922,349
20150616,25,10.9,65783,349
20150617,23.4,10.6,65756,349
20150618,24.8,11.7,64000,349
20150619,24.5,9.9,64000,349
20150622,24,9.7,65008,349
20150623,24.7,11.3,65311,349
20150624,25.7,9.5,64746,349
20150625,24.8,8.1,67476,349
20150626,21,7.3,67682,349
20150629,25.7,9.4,68862,349
20150630,24.4,7.3,69132,349
20150701,23.7,6.9,69524,197
20150702,23.7,8.9,69120,197
20150703,23.3,9.1,68519,197
20150706,25.3,12.3,69557,197
20150707,25.6,8.3,69746,197
20150708,23.4,5.6,69511,197
20150709,26.5,9.7,69180,197
20150710,29.2,10.7,68983,197
20150713,23.1,3.5,68983,197
20150714,26.1,8.9,68783,197
20150715,27.9,11.2,69409,197
20150716,24.7,8.3,68606,197
20150717,23.6,10.2,68756,197
20150720,27.5,6.8,69039,197
20150721,27,5,70036,197
20150722,27.7,6.4,69809,197
20150723,26.9,7.2,70737,197
20150724,24.7,2.8,70689,197
20150727,26.2,5.6,70744,197
20150728,27.7,6.6,71064,197
20150729,26.7,4,71064,197
20150730,28.6,7.6,70678,197
20150731,27.9,6.2,70511,197
20150803,27.9,5.9,70553,466
20150804,27.5,5.4,70864,466
20150805,28.6,6.8,70600,466
20150806,29.3,9.9,71420,466
20150807,28.9,8.4,72222,466
20150810,27,8.1,71392,466
20150811,26.8,6.1,70997,466
20150812,27.3,10.8,70920,466
20150813,26.5,7.2,71924,466
20150817,26.6,13.1,72589,466
20150818,27.9,8.1,72717,466
20150819,26.8,5.5,72244,466
20150820,25.4,3.9,72167,466
20150821,25.2,6.3,72167,466
20150824,26.3,7,72231,466
20150825,21.7,5.3,72167,466
20150826,21.9,6.4,71951,466
20150827,24.7,8.8,72033,466
20150828,23.2,9.1,71267,466
20150831,25.9,10.2,73046,466
20150901,25.9,8.1,73934,354
20150902,23.9,5.7,73934,354
20150903,23.9,8.4,74134,354
20150904,24.8,10.1,74489,354
20150907,22.6,11.9,75114,354
20150908,22.7,12.7,75163,354
20150909,22.4,14.8,75163,354
20150910,22.4,11.4,75426,354
20150911,21,7.6,75426,354
20150914,22.1,11.4,75540,354
20150915,22.8,11.3,75540,354
20150916,21.6,10.7,75909,354
20150917,21.4,12.1,74785,354
20150918,21.9,13.3,74785,354
20150921,22.6,12.9,74967,354
20150922,23.9,13,75300,354
20150923,22,7.1,75058,354
20150924,23.4,13.1,74910,354
20150930,21.3,6.8,75663,354
20151001,16.3,9,75038,232
20151002,16.5,12.9,75225,232
20151005,18,14.6,75006,232
20151006,18.7,14.2,75891,232
20151007,19.6,11.6,75891,232
20151008,20.1,10.7,75667,232
20151012,12.3,9.7,76088,232
20151013,15,13.5,76088,232
20151014,17.1,13.6,76182,232
20151015,17.9,14,76514,232
20151016,17.5,11,77639,232
20151019,18.1,10.3,78900,232
20151020,18.8,9.7,78611,232
20151021,17.9,8.8,77469,232
20151022,17.5,8.6,76984,232
20151023,17.5,6.2,77158,232
20151026,15,6.7,77397,232
20151027,12.1,8.2,77397,232
20151028,9.9,10.2,77200,232
20151029,8.4,11.5,77150,232
20151030,5.4,8.7,77546,232
20151102,10.8,9.1,77243,410
20151103,11.8,12.1,77357,410
20151104,12.2,14,77357,410
20151105,13.2,10.6,77351,410
20151106,13.5,9.6,77923,410
20151109,10.8,2.3,78251,410
20151110,10,5.8,78119,410
20151111,11.6,11.1,77893,410
20151112,14.5,10.8,77872,410
20151113,11.5,2.6,77879,410
20151116,12.2,3.3,77600,410
20151117,13.9,8.3,77224,410
20151118,10.4,4.2,77224,410
20151119,8.9,4.1,76873,410
20151120,9.8,7.3,76800,410
20151123,8.5,4.5,76988,410
20151124,5.6,6.1,77230,410
20151125,2.4,4.4,77230,410
20151126,-2.7,5.7,77897,410
20151127,-2.8,9.3,77436,410
20151130,4.1,7.6,77953,410
20151201,4,11.7,77953,463
20151202,6,5.6,78583,463
20151203,-0.7,6.5,78394,463
20151204,-0.4,7.5,78394,463
20151207,1.9,10.1,77928,463
20151208,2.9,11,77928,463
20151209,5,11.7,77928,463
20151210,7.8,3.4,76668,463
20151211,6.4,8.9,76668,463
20151214,5,3.8,76468,463
20151215,4.7,6.2,76565,463
20151216,-1,7.8,76988,463
20151217,-4.6,7,76570,463
20151218,-3.3,6,75958,463
20151221,2.2,5.2,77139,463
20151222,3.1,9.2,77242,463
20151223,5.9,7.7,77242,463
20151224,1.5,6.9,77031,463
20151228,-5.7,8.5,78121,463
20151229,-3.2,11.6,78438,463
20151230,0.3,7.8,78713,463
20151231,0.7,4.7,77981,463
20160104,2,7.8,78497,198
20160105,-2.7,6.3,78548,198
20160106,-1.7,6.6,78738,198
20160107,-3.4,7.3,76974,198
20160108,-3.3,7.9,76924,198
20160111,-3.8,7.4,77156,198
20160112,-5.2,9.8,77130,198
20160113,-4.5,8.3,77152,198
20160114,-3.4,9.7,77948,198
20160115,-0.4,9.6,78252,198
20160118,-6.3,12.7,79382,198
20160119,-12.8,6.2,79382,198
20160120,-10.5,9.3,79685,198
20160121,-7.1,7.9,79260,198
20160122,-7.6,7.3,78809,198
20160125,-9.4,10.9,78809,198
20160126,-3.3,10.2,78809,198
20160127,-1.1,9,78809,198
20160128,-0.5,9.1,80009,198
20160129,1.9,6.8,80759,198
20160201,-6,8.1,80994,194
20160202,-5.3,10.9,80658,194
20160203,-2.4,12.3,80738,194
20160204,-0.7,7.9,81382,194
20160205,-2.2,10.2,81533,194
20160211,8.1,11.9,82541,194
20160212,8.4,3.2,81929,194
20160215,-5.8,7.7,82709,194
20160216,-2.7,7.8,82406,194
20160217,0,10.6,81919,194
20160218,3.5,9.2,82224,194
20160219,2.3,4.3,81252,194
20160222,1.1,6.4,80850,194
20160223,0.7,9,81100,194
20160224,-3,9,80218,194
20160225,-0.2,11.5,79985,194
20160226,2.2,10.7,78664,194
20160229,-3.8,4.8,80078,194
20160302,3.1,10.3,80116,473
20160303,8.1,9.5,80147,473
20160304,13.2,13.9,80009,473
20160307,8.1,7.4,80561,473
20160308,2.7,8.4,81891,473
20160309,0.3,8,82068,473
20160310,-1.1,7.4,82479,473
20160311,-0.5,10.1,81532,473
20160314,4.7,8.3,81648,473
20160315,5.2,13.4,82103,473
20160316,7.5,11.1,82206,473
20160317,9.3,12.7,80083,473
20160318,13.4,11.3,79975,473
20160321,9.9,10.6,79669,473
20160322,8,10.3,80275,473
20160323,8.2,10,80281,473
20160324,7.2,11.1,81197,473
20160325,7.1,10.5,80967,473
20160328,9.8,15.1,81737,473
20160329,11.3,9.5,81423,473
20160330,11.5,11.3,81737,473
20160331,13.5,15.4,80012,473
20160401,15.3,16.5,80012,344
20160404,12.3,14.7,79106,344
20160405,11.4,12.2,79694,344
20160406,14.4,16.3,80306,344
20160407,14.1,10.1,79394,344
20160408,11.1,10.9,79394,344
20160411,12.5,13.7,80229,344
