Date,Consumer_price
20160923,79711
20160926,79775
20160927,79389
20160928,79389
20160929,79588
20160930,79588
20161004,79294
20161005,79153
20161006,79466
20161007,79158
20161010,80648
20161011,80794
20161012,80948
20161013,79637
20161014,79894
20161017,79597
20161018,79676
20161019,79724
20161020,80371
20161021,79806
20161024,79806
20161025,79800
20161026,79800
20161027,80246
20161028,80200
20161031,80200
20161101,79285
20161102,79413
20161103,79413
20161104,80437
20161107,80818
20161108,80818
20161109,80818
20161110,80854
20161111,80854
20161114,80584
20161115,80584
20161116,80584
20161117,78719
20161118,78305
20161121,78128
20161122,78072
20161123,77530
20161124,79121
20161125,78530
20161128,78530
20161129,78530
20161130,78386
20161201,78335
20161202,78335
20161205,78024
20161206,77945
20161207,78313
20161208,77943
20161209,77576
20161212,78511
20161213,78621
20161214,78937
20161215,79342
20161216,78837
20161219,78474
20161220,78439
20161221,78439
20161222,78559
20161223,77338
20161226,78428
20161227,78972
20161228,78972
20161229,78774
20161230,77974
20170102,77082
20170103,77613
20170104,77613
20170105,78877
20170106,78210
20170109,79254
20170110,79892
20170111,79892
20170112,79603
20170113,78229
20170116,78586
20170117,78884
20170118,79073
20170119,77370
20170120,77378
20170123,76908
20170124,76908
20170125,76513
20170131,76403
20170201,76236
20170202,76386
20170203,76125
20170206,75905
20170207,76181
20170208,75932
20170209,78017
20170210,78294
20170213,78878
20170214,78697
20170215,79192
20170216,78500
20170217,78237
20170220,78446
20170221,78770
20170222,78500
20170223,78042
20170224,78042
20170227,77236
20170228,77500
20170302,76889
20170303,77024
20170306,77754
20170307,77608
20170308,77376
20170309,76769
20170310,76308
20170313,77517
20170314,78515
20170315,78574
20170316,77900
20170317,77764
20170320,78264
20170321,78243
20170322,78542
20170323,78597
20170324,78180
20170327,78536
20170328,78731
20170329,79251
20170330,79224
20170331,79273
20170403,79038
20170404,78178
20170405,78067
20170406,78326
20170407,78326
20170410,78497
20170411,78297
20170412,78069
20170413,77424
20170414,77208
20170417,77308
20170418,78470
20170419,78470
20170420,79200
20170421,78757
20170424,79108
20170425,78667
20170426,79103
20170427,77917
20170428,77892
20170502,78054
20170504,77708
20170508,76720
20170510,76491
20170511,74750
20170512,74750
20170515,76911
20170516,77184
20170517,77373
20170518,77859
20170519,77859
20170522,78459
20170523,78459
20170524,78459
20170525,77569
20170526,77924
20170529,77865
20170530,77924
20170531,77224
20170601,76335
20170602,76669
20170605,76669
20170607,76539
20170608,77738
20170609,77035
20170612,77359
20170613,77468
20170614,77468
20170615,78113
20170616,78297
20170619,78981
20170620,78981
20170621,78981
20170622,78219
20170623,78025
20170626,78419
20170627,78864
20170628,79381
20170629,78462
20170630,77718
20170703,77700
20170704,77989
20170705,78267
20170706,78389
20170707,78389
20170710,79235
20170711,79235
20170712,79235
20170713,79757
20170714,79757
20170717,79765
20170718,79630
20170719,79251
20170720,79008
20170721,78756
20170724,79697
20170725,79697
20170726,79697
20170727,78853
20170728,78642
20170731,80127
20170801,80127
20170802,80486
20170803,79432
20170804,79227
20170807,79551
20170808,79551
20170809,79011
20170810,79887
20170811,79326
20170814,79738
20170816,79884
20170817,79592
20170818,79539
20170821,79928
20170822,79928
20170823,79038
20170824,79447
20170825,79462
20170828,80100
20170829,80371
20170830,81103
20170831,81108
20170901,80941
20170904,81811
20170905,82324
20170906,82324
20170907,81846
20170908,81630
20170911,81684
20170912,81884
20170913,81884
20170914,82262
20170915,82673
20170918,82457
20170919,82638
20170920,82414
20170921,81657
20170922,81435
20170925,81392
20170926,81484
20170927,82026
20170928,81959
20170929,81789
20171010,82371
20171011,82760
20171012,84125
20171013,84264
20171016,84978
20171017,84924
20171018,84811
20171019,84712
20171020,84777
20171023,84789
20171024,84816
20171025,84546
20171026,83051
20171027,83162
20171030,83736
20171031,83645
20171101,84039
20171102,82153
20171103,82446
20171106,83753
20171107,84253
20171108,83918
20171109,81674
20171110,81305
20171113,81489
20171114,81674
20171115,81700
20171116,82911
20171117,82911
20171120,82437
20171121,82395
20171122,82395
20171123,80517
20171124,81011
20171127,80589
20171128,80206
20171129,80416
20171130,81963
20171201,81963
20171204,82763
20171205,82763
20171206,82605
20171207,81884
20171208,82668
20171211,83274
20171212,83274
20171213,83274
20171214,83335
20171215,83335
20171218,83795
20171219,83335
20171220,83341
20171221,83368
20171222,81479
20171226,82032
20171227,82032
20171228,81479
20171229,80137
20180102,80530
20180103,80095
20180104,80021
20180105,80021
20180108,79505
20180109,79505
20180110,79505
20180111,81782
20180112,81566
20180115,81758
20180116,81713
20180117,81976
20180118,81958
20180119,81958
20180122,82711
20180123,82884
20180124,82249
20180125,82545
20180126,82545
20180129,82249
20180130,82249
20180131,82249
20180201,81833
20180202,81833
20180205,81833
20180206,82197
20180207,82197
20180208,81934
20180209,82065
20180212,82644
20180213,82387
20180219,80008
20180220,79568
20180221,78681
20180222,80382
20180223,80488
20180226,80431
20180227,80891
20180228,81508
20180302,81973
20180305,81694
20180306,81694
20180307,81694
20180308,83405
20180309,83405
20180312,83865
20180313,83865
20180314,83865
20180315,81772
20180316,81022
20180319,81832
20180320,81832
20180321,81679
20180322,78744
20180323,78766
20180326,79300
20180327,79300
20180328,79232
20180329,78139
20180330,78566
20180402,79135
20180403,79167
20180404,79250
20180405,83062
20180406,82454
20180409,83074
20180410,83074
20180411,82426
20180412,81509
20180413,82009
20180416,82009
20180417,82009
20180418,82367
20180419,82453
20180420,82453
20180423,82894
20180424,82758
